"name","length","assignment","rule","support","begin","end","type","pure","pure_support","pure_inner","pure_outer","scan_best_support","scan_assigned_support","scan_assigned_nosupport","scan_best_profile","scan_assigned_profile","crf","crf_support","crf_inner","crf_outer","crfscan_best_support","crfscan_assigned_support","crfscan_assigned_nosupport","crfscan_best_profile","crfscan_assigned_profile","major_id","minor_id"
"20-02945_ENV_20","532.0","Check the report","9","","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","69.0","4.14","64.86","","","","","","","","","","","","","","","",""
"20-02947_ENV_20","532.0","Check the report","10","","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","12.0","88.0","","","","","","","","","","","","","","","",""
"20-02949_ENV_20","550.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","100.0","0.0","","","","","","","","","","","","","","","",""
"20-02950_ENV_20","541.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","100.0","0.0","","","","","","","","","","","","","","","",""
"20-02951_ENV_20","532.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","100.0","0.0","","","","","","","","","","","","","","","",""
"20-02952_ENV_20","547.0","Check the report","10","","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","96.0","0.0","96.0","","","","","","","","","","","","","","","",""
"20-02953_ENV_20","535.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","79.0","21.0","","","","","","","","","","","","","","","",""
"20-02954_ENV_20","432.0","Check the report","9","","6518.0","6955.0","Human immunodeficiency virus 1","HIV-1 Subtype F (F1)","5.0","0.0","5.0","","","","","","","","","","","","","","","",""
"20-02955_ENV_20","526.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","46.0","54.0","","","","","","","","","","","","","","","",""
"20-02957_ENV_20","523.0","Check the report","9","","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype A (A1)","40.0","0.8","39.2","","","","","","","","","","","","","","","",""
"20-02958_ENV_20","529.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","33.0","67.0","","","","","","","","","","","","","","","",""
"20-02959_ENV_20","435.0","HIV-1 Subtype A (A1)","11","100.0","6518.0","6958.0","Human immunodeficiency virus 1","HIV-1 Subtype A (A1)","100.0","100.0","0.0","","","","","","","","","","","","","","","",""
"20-02960_ENV_20","529.0","Check the report","10","","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","95.0","10.45","84.55","","","","","","","","","","","","","","","",""
"20-02964_ENV_20","541.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","100.0","0.0","","","","","","","","","","","","","","","",""
"20-02965_ENV_20","535.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","37.0","63.0","","","","","","","","","","","","","","","",""
"20-02966_ENV_20","559.0","Unassigned","","","6518.0","7067.0","Human immunodeficiency virus 1","","","","","","","","","","","","","","","","","","","",""
"20-02969_ENV_20","523.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","25.0","75.0","","","","","","","","","","","","","","","",""
"20-02970_ENV_20","538.0","HIV-1 Subtype B","11","99.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","99.0","32.67","66.33","","","","","","","","","","","","","","","",""
"20-02972_ENV_20","529.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","37.0","63.0","","","","","","","","","","","","","","","",""
"20-02974_ENV_20","544.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","88.0","12.0","","","","","","","","","","","","","","","",""
"20-02976_ENV_20","541.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","86.0","14.0","","","","","","","","","","","","","","","",""
"20-02977_ENV_20","532.0","HIV-1 Subtype A (A1)","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype A (A1)","100.0","100.0","0.0","","","","","","","","","","","","","","","",""
"20-02978_ENV_20","538.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","43.0","57.0","","","","","","","","","","","","","","","",""
"20-02988_ENV_20","532.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","100.0","0.0","","","","","","","","","","","","","","","",""
"20-02994_ENV_20","535.0","HIV-1 Subtype A (A1)","11","97.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype A (A1)","97.0","30.07","66.93","","","","","","","","","","","","","","","",""
"20-02997_ENV_20","532.0","HIV-1 Subtype A (A1)","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype A (A1)","100.0","100.0","0.0","","","","","","","","","","","","","","","",""
"20-03002_ENV_20","444.0","Check the report","10","","6518.0","6967.0","Human immunodeficiency virus 1","HIV-1 Subtype A (A1)","74.0","2.96","71.04","","","","","","","","","","","","","","","",""
"20-03003_ENV_20","541.0","Check the report","10","","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","8.0","92.0","","","","","","","","","","","","","","","",""
"20-03004_ENV_20","532.0","Check the report","9","","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype F (F1)","18.0","0.0","18.0","","","","","","","","","","","","","","","",""
"20-03008_ENV_20","547.0","HIV-1 Subtype A (A1)","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype A (A1)","100.0","84.0","16.0","","","","","","","","","","","","","","","",""
"20-03009_ENV_20","529.0","HIV-1 Subtype A (A1)","11","98.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype A (A1)","98.0","98.0","0.0","","","","","","","","","","","","","","","",""
"20-03024_ENV_20","535.0","HIV-1 Subtype A (A1)","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype A (A1)","100.0","48.0","52.0","","","","","","","","","","","","","","","",""
"20-03083_ENV_20","514.0","HIV-1 Subtype F (F1)","11","98.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype F (F1)","98.0","30.0","68.0","","","","","","","","","","","","","","","",""
"20-03116_ENV_20","538.0","HIV-1 Subtype B","11","97.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","97.0","37.83","59.17","","","","","","","","","","","","","","","",""
"20-03117_ENV_20","526.0","HIV-1 Subtype B","11","99.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","99.0","37.62","61.38","","","","","","","","","","","","","","","",""
"20-03118_ENV_20","541.0","Check the report","10","","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","18.0","82.0","","","","","","","","","","","","","","","",""
"20-03138_ENV_20","556.0","Check the report","10","","6518.0","7066.0","Human immunodeficiency virus 1","HIV-1 Subtype B","94.0","0.94","93.06","","","","","","","","","","","","","","","",""
"20-03139_ENV_20","532.0","HIV-1 Subtype B","11","99.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","99.0","80.19","18.81","","","","","","","","","","","","","","","",""
"20-03144_ENV_20","544.0","Check the report","10","","6518.0","7066.0","Human immunodeficiency virus 1","HIV-1 Subtype B","99.0","16.83","82.17","","","","","","","","","","","","","","","",""
"20-03145_ENV_20","535.0","HIV-1 Subtype C","11","99.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype C","99.0","78.21","20.79","","","","","","","","","","","","","","","",""
"20-03151_ENV_20","538.0","Check the report","10","","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","99.0","17.82","81.18","","","","","","","","","","","","","","","",""
"20-03152_ENV_20","538.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","40.0","60.0","","","","","","","","","","","","","","","",""
"20-03160_ENV_20","529.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","100.0","0.0","","","","","","","","","","","","","","","",""
"20-03161_ENV_20","547.0","HIV-1 Subtype C","11","99.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype C","99.0","99.0","0.0","","","","","","","","","","","","","","","",""
"20-03173_ENV_20","532.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","44.0","56.0","","","","","","","","","","","","","","","",""
"20-03174_ENV_20","544.0","HIV-1 Subtype A (A1)","11","99.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype A (A1)","99.0","30.69","68.31","","","","","","","","","","","","","","","",""
"20-03178_ENV_20","526.0","Unassigned","","","6518.0","7067.0","Human immunodeficiency virus 1","","","","","","","","","","","","","","","","","","","",""
"20-03179_ENV_20","532.0","Check the report","10","","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","96.0","2.88","93.12","","","","","","","","","","","","","","","",""
"20-03181_ENV_20","574.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","32.0","68.0","","","","","","","","","","","","","","","",""
"20-03182_ENV_20","529.0","HIV-1 Subtype A (A1)","11","99.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype A (A1)","99.0","37.62","61.38","","","","","","","","","","","","","","","",""
"20-03188_ENV_20","532.0","HIV-1 Subtype H","11","83.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype H","83.0","57.27","25.73","","","","","","","","","","","","","","","",""
"20-03194_ENV_20","550.0","HIV-1 Subtype B","11","98.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","98.0","51.94","46.06","","","","","","","","","","","","","","","",""
"20-03196_ENV_20","532.0","HIV-1 Subtype A (A1)","11","98.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype A (A1)","98.0","85.26","12.74","","","","","","","","","","","","","","","",""
"20-03197_ENV_20","532.0","Check the report","10","","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","98.0","8.82","89.18","","","","","","","","","","","","","","","",""
"20-03199_ENV_20","562.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","62.0","38.0","","","","","","","","","","","","","","","",""
"20-03212_ENV_20","514.0","HIV-1 Subtype C","11","97.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype C","97.0","66.93","30.07","","","","","","","","","","","","","","","",""
"20-03213_ENV_20","532.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","66.0","34.0","","","","","","","","","","","","","","","",""
"20-03214_ENV_20","541.0","HIV-1 Subtype C","11","98.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype C","98.0","93.0","5.0","","","","","","","","","","","","","","","",""
"20-03215_ENV_20","544.0","HIV-1 Subtype A (A1)","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype A (A1)","100.0","70.0","30.0","","","","","","","","","","","","","","","",""
"20-03218_ENV_20","526.0","HIV-1 Subtype C","11","98.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype C","98.0","98.0","0.0","","","","","","","","","","","","","","","",""
"20-03220_ENV_20","526.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","48.0","52.0","","","","","","","","","","","","","","","",""
"20-03221_ENV_20","541.0","HIV-1 Subtype C","11","96.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype C","96.0","72.96","23.04","","","","","","","","","","","","","","","",""
"20-03229_ENV_20","547.0","HIV-1 Subtype B","11","100.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","100.0","100.0","0.0","","","","","","","","","","","","","","","",""
"20-03232_ENV_20","523.0","HIV-1 Subtype B","11","99.0","6518.0","7067.0","Human immunodeficiency virus 1","HIV-1 Subtype B","99.0","26.73","72.27","","","","","","","","","","","","","","","",""
